"","PreyUniprotAcc","diferEnsamb","Bait","PreyGeneName","MIST","SAINT_BFDR","AvgSpec","FoldChange","Uniprot Protein ID","Uniprot Protein Description","Uniprot Function","Structures (PDB)","Uniprot Function in Disease"
"24","O75592","ENSP00000444596","Nsp12","MYCBP2","0.987452704","0.0","6.33","63.33","MYCB2_HUMAN","E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Protein associated with Myc)"," Atypical E3 ubiquitin-protein ligase which specifically mediates ubiquitination of threonine and serine residues on target proteins, instead of ubiquitinating lysine residues (PubMed:29643511). Shows esterification activity towards both threonine and serine, with a preference for threonine, and acts via two essential catalytic cysteine residues that relay ubiquitin to its substrate via thioester intermediates (PubMed:29643511). Interacts with the E2 enzymes UBE2D1, UBE2D3, UBE2E1 and UBE2L3 (PubMed:18308511, PubMed:29643511). Plays a key role in neural development, probably by mediating ubiquitination of threonine residues on target proteins (Probable). Involved in different processes such as regulation of neurite outgrowth, synaptic growth, synaptogenesis and axon degeneration (By similarity). Required for the formation of major central nervous system axon tracts (By similarity). Required for proper axon growth by regulating axon navigation and axon branching: acts by regulating the subcellular location and stability of MAP3K12/DLK (By similarity). Required for proper localization of retinogeniculate projections but not for eye-specific segregation (By similarity). Regulates axon guidance in the olfactory system (By similarity). Involved in Wallerian axon degeneration, an evolutionarily conserved process that drives the loss of damaged axons: acts by promoting destabilization of NMNAT2, probably via ubiquitination of NMNAT2 (By similarity). Catalyzes ubiquitination of threonine and/or serine residues on NMNAT2, consequences of threonine and/or serine ubiquitination are however unknown (PubMed:29643511). Regulates the internalization of TRPV1 in peripheral sensory neurons (By similarity). Mediates ubiquitination and subsequent proteasomal degradation of TSC2/tuberin (PubMed:18308511, PubMed:27278822). Independently of the E3 ubiquitin-protein ligase activity, also acts as a guanosine exchange factor (GEF) for RAN in neurons of dorsal root ganglia (PubMed:26304119). May function as a facilitator or regulator of transcriptional activation by MYC (PubMed:9689053). Acts in concert with HUWE1 to regulate the circadian clock gene expression by promoting the lithium-induced ubiquination and degradation of NR1D1 (PubMed:20534529). {ECO:0000250|UniProtKB:Q7TPH6, ECO:0000269|PubMed:18308511, ECO:0000269|PubMed:20534529, ECO:0000269|PubMed:26304119, ECO:0000269|PubMed:27278822, ECO:0000269|PubMed:29643511, ECO:0000269|PubMed:9689053}.","5O6C",NA
"25","O75964","ENSP00000300688","Nsp6","ATP5MG","0.717265558","0.0","6.67","66.67","ATP5L_HUMAN","ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)"," Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain. Minor subunit located with subunit a in the membrane.",NA,NA
"26","O76024","ENSP00000423337","Orf9c","WFS1","0.955124813","0.03","3.0","30.0","WFS1_HUMAN","Wolframin"," Participates in the regulation of cellular Ca(2+) homeostasis, at least partly, by modulating the filling state of the endoplasmic reticulum Ca(2+) store. {ECO:0000269|PubMed:16989814}.",NA," Wolfram syndrome 1 (WFS1) [MIM:222300]: A rare disorder characterized by juvenile-onset insulin-dependent diabetes mellitus with optic atrophy. Other manifestations include diabetes insipidus, sensorineural deafness, dementia, psychiatric illnesses. {ECO:0000269|PubMed:10521293, ECO:0000269|PubMed:11161832, ECO:0000269|PubMed:11295831, ECO:0000269|PubMed:15605410, ECO:0000269|PubMed:21538838, ECO:0000269|PubMed:22226368, ECO:0000269|PubMed:9771706, ECO:0000269|PubMed:9817917}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Deafness, autosomal dominant, 6 (DFNA6) [MIM:600965]: A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. DFNA6 is a low-frequency hearing loss in which frequencies of 2000 Hz and below are predominantly affected. Many patients have tinnitus, but there are otherwise no associated features such as vertigo. Because high-frequency hearing is generally preserved, patients retain excellent understanding of speech, although presbycusis or noise exposure may cause high-frequency loss later in life. DFNA6 worsens over time without progressing to profound deafness. {ECO:0000269|PubMed:11709537, ECO:0000269|PubMed:11709538, ECO:0000269|PubMed:12181639, ECO:0000269|PubMed:17517145, ECO:0000269|PubMed:18518985, ECO:0000269|PubMed:18688868, ECO:0000269|PubMed:21356526, ECO:0000269|PubMed:24462758, ECO:0000269|PubMed:25388789}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Wolfram-like syndrome autosomal dominant (WFSL) [MIM:614296]: A disease characterized by the clinical triad of congenital progressive hearing impairment, diabetes mellitus, and optic atrophy. The hearing impairment, which is usually diagnosed in the first decade of life, is relatively constant and alters mainly low- and middle-frequency ranges. {ECO:0000269|PubMed:16648378, ECO:0000269|PubMed:20069065, ECO:0000269|PubMed:21538838}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cataract 41 (CTRCT41) [MIM:116400]: An opacification of the crystalline lens of the eye that frequently results in visual impairment or blindness. Opacities vary in morphology, are often confined to a portion of the lens, and may be static or progressive. {ECO:0000269|PubMed:23531866}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"27","O76061","ENSP00000265087","Orf8","STC2","0.979920785","0.0","4.67","46.67","STC2_HUMAN","Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP)"," Has an anti-hypocalcemic action on calcium and phosphate homeostasis.",NA,NA
"28","O76094","ENSP00000424576","Nsp8","SRP72","0.739540656","0.0","33.67","336.67","SRP72_HUMAN","Signal recognition particle subunit SRP72 (SRP72) (Signal recognition particle 72 kDa protein)"," Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane. Binds the 7S RNA only in presence of SRP68. This ribonucleoprotein complex might interact directly with the docking protein in the ER membrane and possibly participate in the elongation arrest function.","5M72;5M73;5WRV;5WRW"," Bone marrow failure syndrome 1 (BMFS1) [MIM:614675]: An autosomal dominant disease characterized by aplastic anemia and myelodysplasia resulting from bone marrow failure. Aplastic anemia is a form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements. Myelodysplasia is a clonal hematopoietic stem cell disorder in which immature cells in the bone marrow become malformed and dysfunctional. {ECO:0000269|PubMed:22541560}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"29","O94826","ENSP00000284320","Orf9b","TOMM70","0.978100903","0.0","55.0","550.0","TOM70_HUMAN","Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)"," Receptor that accelerates the import of all mitochondrial precursor proteins. {ECO:0000250}.",NA,NA
"30","O94973","ENSP00000327694","Nsp10","AP2A2","0.99112813","0.0","5.67","56.67","AP2A2_HUMAN","AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)"," Component of the adaptor protein complex 2 (AP-2). Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways. Adaptor protein complexes are vesicle coat components and appear to be involved in cargo selection and vesicle formation. AP-2 is involved in clathrin-dependent endocytosis in which cargo proteins are incorporated into vesicles surrounded by clathrin (clathrin-coated vesicles, CCVs) which are destined for fusion with the early endosome. The clathrin lattice serves as a mechanical scaffold but is itself unable to bind directly to membrane components. Clathrin-associated adaptor protein (AP) complexes which can bind directly to both the clathrin lattice and to the lipid and protein components of membranes are considered to be the major clathrin adaptors contributing the CCV formation. AP-2 also serves as a cargo receptor to selectively sort the membrane proteins involved in receptor-mediated endocytosis. AP-2 seems to play a role in the recycling of synaptic vesicle membranes from the presynaptic surface. AP-2 recognizes Y-X-X-[FILMV] (Y-X-X-Phi) and [ED]-X-X-X-L-[LI] endocytosis signal motifs within the cytosolic tails of transmembrane cargo molecules. AP-2 may also play a role in maintaining normal post-endocytic trafficking through the ARF6-regulated, non-clathrin pathway. During long-term potentiation in hippocampal neurons, AP-2 is responsible for the endocytosis of ADAM10 (PubMed:23676497). The AP-2 alpha subunit binds polyphosphoinositide-containing lipids, positioning AP-2 on the membrane. The AP-2 alpha subunit acts via its C-terminal appendage domain as a scaffolding platform for endocytic accessory proteins. The AP-2 alpha and AP-2 sigma subunits are thought to contribute to the recognition of the [ED]-X-X-X-L-[LI] motif (By similarity). {ECO:0000250, ECO:0000269|PubMed:12960147, ECO:0000269|PubMed:14745134, ECO:0000269|PubMed:15473838, ECO:0000269|PubMed:19033387, ECO:0000269|PubMed:23676497}.",NA,NA
"31","O95070","ENSP00000366098","M","YIF1A","0.856000835","0.0","2.33","23.33","YIF1A_HUMAN","Protein YIF1A (54TMp) (YIP1-interacting factor homolog A)"," Possible role in transport between endoplasmic reticulum and Golgi.",NA,NA
"32","O95260","ENSP00000358039","Nsp8","ATE1","0.804292637","0.0","8.33","83.33","ATE1_HUMAN","Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)"," Involved in the post-translational conjugation of arginine to the N-terminal aspartate or glutamate of a protein. This arginylation is required for degradation of the protein via the ubiquitin pathway. Does not arginylate cysteine residues (By similarity). {ECO:0000250}.",NA,NA
"33","O95391","ENSP00000297151","Nsp12","SLU7","0.989493635","0.0","14.33","143.33","SLU7_HUMAN","Pre-mRNA-splicing factor SLU7 (hSlu7)"," Required for pre-mRNA splicing as component of the spliceosome (PubMed:10197984, PubMed:28502770, PubMed:30705154). Participates in the second catalytic step of pre-mRNA splicing, when the free hydroxyl group of exon I attacks the 3'-splice site to generate spliced mRNA and the excised lariat intron. Required for holding exon 1 properly in the spliceosome and for correct AG identification when more than one possible AG exists in 3'-splicing site region. May be involved in the activation of proximal AG. Probably also involved in alternative splicing regulation. {ECO:0000269|PubMed:10197984, ECO:0000269|PubMed:10647016, ECO:0000269|PubMed:12764196, ECO:0000269|PubMed:15181151, ECO:0000269|PubMed:15728250, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:30705154}.","5XJC;6ICZ;6QDV",NA
"34","O95573","ENSP00000375918","Nsp7","ACSL3","0.897068932","0.0","4.33","43.33","ACSL3_HUMAN","Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3)"," Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490). Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins) (PubMed:18003621). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates. Both isoforms exhibit the same level of activity (By similarity). {ECO:0000250|UniProtKB:Q63151, ECO:0000269|PubMed:18003621, ECO:0000269|PubMed:22633490}.",NA,NA
"35","O95613","ENSP00000352572","Nsp13","PCNT","0.971855938","0.0","181.0","1810.0","PCNT_HUMAN","Pericentrin (Kendrin) (Pericentrin-B)"," Integral component of the filamentous matrix of the centrosome involved in the initial establishment of organized microtubule arrays in both mitosis and meiosis. Plays a role, together with DISC1, in the microtubule network formation. Is an integral component of the pericentriolar material (PCM). May play an important role in preventing premature centrosome splitting during interphase by inhibiting NEK2 kinase activity at the centrosome. {ECO:0000269|PubMed:10823944, ECO:0000269|PubMed:11171385, ECO:0000269|PubMed:18955030, ECO:0000269|PubMed:20599736}.",NA," Microcephalic osteodysplastic primordial dwarfism 2 (MOPD2) [MIM:210720]: Adults with this rare inherited condition have an average height of 100 centimeters and a brain size comparable to that of a 3-month-old baby, but are of near-normal intelligence. {ECO:0000269|PubMed:18157127, ECO:0000269|PubMed:18174396}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"36","O95684","ENSP00000355812","Nsp13","CEP43","0.981570359","0.05","2.0","20.0","FR1OP_HUMAN","FGFR1 oncogene partner"," Required for anchoring microtubules to the centrosomes (PubMed:16314388, PubMed:28659385). Required for ciliation (PubMed:28625565, PubMed:28659385). {ECO:0000269|PubMed:16314388, ECO:0000269|PubMed:28625565, ECO:0000269|PubMed:28659385}.","2D68"," Note=A chromosomal aberration involving FGFR1OP may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(6;8)(q27;p11) with FGFR1. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP-FGFR1 or FGFR1-FGFR1OP may exhibit constitutive kinase activity and be responsible for the transforming activity (PubMed:9949182). {ECO:0000269|PubMed:9949182}."
"37","O96028","ENSP00000423972","Nsp8","NSD2","0.864651959","0.05","2.0","20.0","NSD2_HUMAN","Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.356) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Protein trithorax-5) (Wolf-Hirschhorn syndrome candidate 1 protein)"," Histone methyltransferase with histone H3 'Lys-27' (H3K27me) methyltransferase activity forming trimethylated 'Lys-27' (H3K27me3). Isoform 2 may act as a transcription regulator that binds DNA and suppresses IL5 transcription through HDAC recruitment. {ECO:0000269|PubMed:11152655, ECO:0000269|PubMed:16115125, ECO:0000269|PubMed:18172012}.","5LSU;5VC8;6UE6"," Note=A chromosomal aberration involving NSD2 is a cause of multiple myeloma tumors. Translocation t(4;14)(p16.3;q32.3) with IgH.; DISEASE: Note=NSD2 is located in the Wolf-Hirschhorn syndrome (WHS) critical region. WHS results from by sub-telomeric deletions in the short arm of chromosome 4. NSD2 is deleted in every case, however deletion of linked genes contributes to both the severity of the core characteristics and the presence of the additional syndromic problems."
"38","P00387","ENSP00000338461","Nsp7","CYB5R3","0.956349351","0.0","7.33","73.33","NB5R3_HUMAN","NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: NADH-cytochrome b5 reductase 3 membrane-bound form; NADH-cytochrome b5 reductase 3 soluble form]"," Desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction.","1M91;1UMK"," Methemoglobinemia CYB5R3-related (METHB-CYB5R3) [MIM:250800]: A form of methemoglobinemia, a hematologic disease characterized by the presence of excessive amounts of methemoglobin in blood cells, resulting in decreased oxygen carrying capacity of the blood, cyanosis and hypoxia. There are two types of methemoglobinemia CYB5R3-related. In type 1, the defect affects the soluble form of the enzyme, is restricted to red blood cells, and causes well-tolerated methemoglobinemia. In type 2, the defect affects both the soluble and microsomal forms of the enzyme and is thus generalized, affecting red cells, leukocytes and all body tissues. Type 2 methemoglobinemia is associated with mental deficiency and other neurologic symptoms. {ECO:0000269|PubMed:10807796, ECO:0000269|PubMed:12393396, ECO:0000269|PubMed:1400360, ECO:0000269|PubMed:15622768, ECO:0000269|PubMed:15953014, ECO:0000269|PubMed:1707593, ECO:0000269|PubMed:1898726, ECO:0000269|PubMed:7718898, ECO:0000269|PubMed:8119939, ECO:0000269|PubMed:9695975, ECO:0000269|PubMed:9886302}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"39","P00750","ENSP00000220809","Orf8","PLAT","0.973718932","0.05","2.0","20.0","TPA_HUMAN","Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]"," Converts the abundant, but inactive, zymogen plasminogen to plasmin by hydrolyzing a single Arg-Val bond in plasminogen. By controlling plasmin-mediated proteolysis, it plays an important role in tissue remodeling and degradation, in cell migration and many other physiopathological events. Plays a direct role in facilitating neuronal migration.","1A5H;1BDA;1PK2;1PML;1RTF;1TPG;1TPK;1TPM;1TPN;5BRR;5ZLZ"," Note=Increased activity of TPA results in increased fibrinolysis of fibrin blood clots that is associated with excessive bleeding. Defective release of TPA results in hypofibrinolysis that can lead to thrombosis or embolism. {ECO:0000269|PubMed:1762144}."
"40","P05026","ENSP00000356790","M","ATP1B1","0.817625601","0.0","3.67","36.67","AT1B1_HUMAN","Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)"," This is the non-catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane. The beta subunit regulates, through assembly of alpha/beta heterodimers, the number of sodium pumps transported to the plasma membrane. Involved in cell adhesion and establishing epithelial cell polarity.",NA,NA
"41","P05556","ENSP00000502882","Orf8","ITGB1","0.817711683","0.04","2.33","23.33","ITB1_HUMAN","Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)"," Integrins alpha-1/beta-1, alpha-2/beta-1, alpha-10/beta-1 and alpha-11/beta-1 are receptors for collagen. Integrins alpha-1/beta-1 and alpha-2/beta-2 recognize the proline-hydroxylated sequence G-F-P-G-E-R in collagen. Integrins alpha-2/beta-1, alpha-3/beta-1, alpha-4/beta-1, alpha-5/beta-1, alpha-8/beta-1, alpha-10/beta-1, alpha-11/beta-1 and alpha-V/beta-1 are receptors for fibronectin. Alpha-4/beta-1 recognizes one or more domains within the alternatively spliced CS-1 and CS-5 regions of fibronectin. Integrin alpha-5/beta-1 is a receptor for fibrinogen. Integrin alpha-1/beta-1, alpha-2/beta-1, alpha-6/beta-1 and alpha-7/beta-1 are receptors for lamimin. Integrin alpha-6/beta-1 (ITGA6:ITGB1) is present in oocytes and is involved in sperm-egg fusion (By similarity). Integrin alpha-4/beta-1 is a receptor for VCAM1. It recognizes the sequence Q-I-D-S in VCAM1. Integrin alpha-9/beta-1 is a receptor for VCAM1, cytotactin and osteopontin. It recognizes the sequence A-E-I-D-G-I-E-L in cytotactin. Integrin alpha-3/beta-1 is a receptor for epiligrin, thrombospondin and CSPG4. Alpha-3/beta-1 may mediate with LGALS3 the stimulation by CSPG4 of endothelial cells migration. Integrin alpha-V/beta-1 is a receptor for vitronectin. Beta-1 integrins recognize the sequence R-G-D in a wide array of ligands. Isoform 2 interferes with isoform 1 resulting in a dominant negative effect on cell adhesion and migration (in vitro). When associated with alpha-7/beta-1 integrin, regulates cell adhesion and laminin matrix deposition. Involved in promoting endothelial cell motility and angiogenesis. Involved in osteoblast compaction through the fibronectin fibrillogenesis cell-mediated matrix assembly process and the formation of mineralized bone nodules. May be involved in up-regulation of the activity of kinases such as PKC via binding to KRT1. Together with KRT1 and RACK1, serves as a platform for SRC activation or inactivation. Plays a mechanistic adhesive role during telophase, required for the successful completion of cytokinesis. Integrin alpha-3/beta-1 provides a docking site for FAP (seprase) at invadopodia plasma membranes in a collagen-dependent manner and hence may participate in the adhesion, formation of invadopodia and matrix degradation processes, promoting cell invasion. ITGA4:ITGB1 binds to fractalkine (CX3CL1) and may act as its coreceptor in CX3CR1-dependent fractalkine signaling (PubMed:23125415, PubMed:24789099). ITGA4:ITGB1 and ITGA5:ITGB1 bind to PLA2G2A via a site (site 2) which is distinct from the classical ligand-binding site (site 1) and this induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:18635536, PubMed:25398877). ITGA5:ITGB1 acts as a receptor for fibrillin-1 (FBN1) and mediates R-G-D-dependent cell adhesion to FBN1 (PubMed:12807887, PubMed:17158881). ITGA5:ITGB1 is a receptor for IL1B and binding is essential for IL1B signaling (PubMed:29030430). ITGA5:ITGB3 is a receptor for soluble CD40LG and is required for CD40/CD40LG signaling (PubMed:31331973). {ECO:0000250|UniProtKB:P09055, ECO:0000269|PubMed:10455171, ECO:0000269|PubMed:12473654, ECO:0000269|PubMed:12807887, ECO:0000269|PubMed:16256741, ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:18635536, ECO:0000269|PubMed:18804435, ECO:0000269|PubMed:19064666, ECO:0000269|PubMed:21768292, ECO:0000269|PubMed:23125415, ECO:0000269|PubMed:24789099, ECO:0000269|PubMed:25398877, ECO:0000269|PubMed:29030430, ECO:0000269|PubMed:31331973, ECO:0000269|PubMed:7523423}.; FUNCTION: [Isoform 5]: Isoform 5 displaces isoform 1 in striated muscles. {ECO:0000250}.; FUNCTION: (Microbial infection) Integrin ITGA2:ITGB1 acts as a receptor for Human echoviruses 1 and 8. {ECO:0000269|PubMed:8411387}.; FUNCTION: (Microbial infection) Acts as a receptor for Cytomegalovirus/HHV-5. {ECO:0000269|PubMed:20660204}.; FUNCTION: (Microbial infection) Acts as a receptor for Epstein-Barr virus/HHV-4. {ECO:0000269|PubMed:17945327}.; FUNCTION: (Microbial infection) Integrin ITGA5:ITGB1 acts as a receptor for Human parvovirus B19. {ECO:0000269|PubMed:12907437}.; FUNCTION: (Microbial infection) Integrin ITGA2:ITGB1 acts as a receptor for Human rotavirus. {ECO:0000269|PubMed:12941907}.; FUNCTION: (Microbial infection) Acts as a receptor for Mammalian reovirus. {ECO:0000269|PubMed:16501085}.; FUNCTION: (Microbial infection) In case of HIV-1 infection, integrin ITGA5:ITGB1 binding to extracellular viral Tat protein seems to enhance angiogenesis in Kaposi's sarcoma lesions. {ECO:0000269|PubMed:10397733}.","1K11;1LHA;3G9W;3T9K;3VI3;3VI4;4DX9;4WJK;4WK0;4WK2;4WK4",NA
"42","P06280","ENSP00000218516","Nsp14","GLA","0.841137578","0.0","25.67","256.67","AGAL_HUMAN","Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase)",NA,"1R46;1R47;3GXN;3GXP;3GXT;3HG2;3HG3;3HG4;3HG5;3LX9;3LXA;3LXB;3LXC;3S5Y;3S5Z;3TV8;4NXS;6IBK;6IBM;6IBR;6IBT"," Fabry disease (FD) [MIM:301500]: Rare X-linked sphingolipidosis disease where glycolipid accumulates in many tissues. The disease consists of an inborn error of glycosphingolipid catabolism. FD patients show systemic accumulation of globotriaosylceramide (Gb3) and related glycosphingolipids in the plasma and cellular lysosomes throughout the body. Clinical recognition in males results from characteristic skin lesions (angiokeratomas) over the lower trunk. Patients may show ocular deposits, febrile episodes, and burning pain in the extremities. Death results from renal failure, cardiac or cerebral complications of hypertension or other vascular disease. Heterozygous females may exhibit the disorder in an attenuated form, they are more likely to show corneal opacities. {ECO:0000269|PubMed:10090526, ECO:0000269|PubMed:10208848, ECO:0000269|PubMed:10666480, ECO:0000269|PubMed:10838196, ECO:0000269|PubMed:10916280, ECO:0000269|PubMed:11076046, ECO:0000269|PubMed:11295840, ECO:0000269|PubMed:11668641, ECO:0000269|PubMed:11889412, ECO:0000269|PubMed:12694230, ECO:0000269|PubMed:12786754, ECO:0000269|PubMed:1315715, ECO:0000269|PubMed:15162124, ECO:0000269|PubMed:15712228, ECO:0000269|PubMed:16533976, ECO:0000269|PubMed:1846223, ECO:0000269|PubMed:19621417, ECO:0000269|PubMed:2152885, ECO:0000269|PubMed:2171331, ECO:0000269|PubMed:2539398, ECO:0000269|PubMed:26415523, ECO:0000269|PubMed:27142856, ECO:0000269|PubMed:27211852, ECO:0000269|PubMed:7504405, ECO:0000269|PubMed:7531540, ECO:0000269|PubMed:7575533, ECO:0000269|PubMed:7596372, ECO:0000269|PubMed:7599642, ECO:0000269|PubMed:7759078, ECO:0000269|PubMed:8069316, ECO:0000269|PubMed:8395937, ECO:0000269|PubMed:8738659, ECO:0000269|PubMed:8807334, ECO:0000269|PubMed:8834244, ECO:0000269|PubMed:8863162, ECO:0000269|PubMed:8875188, ECO:0000269|PubMed:8931708, ECO:0000269|PubMed:9100224, ECO:0000269|PubMed:9105656, ECO:0000269|PubMed:9452068, ECO:0000269|PubMed:9452090, ECO:0000269|PubMed:9452111, ECO:0000269|PubMed:9554750}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"43","P07203","ENSP00000407375","Nsp5 C145A","GPX1","0.97684084","0.0","15.67","156.67","GPX1_HUMAN","Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase)"," Protects the hemoglobin in erythrocytes from oxidative breakdown.","2F8A",NA
"44","P09132","ENSP00000424870","Nsp8","SRP19","0.832502372","0.0","12.0","120.0","SRP19_HUMAN","Signal recognition particle 19 kDa protein (SRP19)"," Signal-recognition-particle assembly, binds directly to 7S RNA and mediates binding of the 54 kDa subunit of the SRP.","1JID;1MFQ;1RY1;2J37;3KTV;4P3E;5M73",NA
"45","P09601","ENSP00000216117","Orf3a","HMOX1","0.993596312","0.0","12.33","123.33","HMOX1_HUMAN","Heme oxygenase 1 (HO-1) (EC 1.14.14.18)"," Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where senescent erythrocytes are sequestrated and destroyed. Exhibits cytoprotective effects since excess of free heme sensitizes cells to undergo apoptosis.","1N3U;1N45;1NI6;1OYK;1OYL;1OZE;1OZL;1OZR;1OZW;1S13;1S8C;1T5P;1TWN;1TWR;1XJZ;1XK0;1XK1;1XK2;1XK3;3CZY;3HOK;3K4F;3TGM;4WD4;5BTQ;6EHA"," Heme oxygenase 1 deficiency (HMOX1D) [MIM:614034]: A disease characterized by impaired stress hematopoiesis, resulting in marked erythrocyte fragmentation and intravascular hemolysis, coagulation abnormalities, endothelial damage, and iron deposition in renal and hepatic tissues. Clinical features include persistent hemolytic anemia, asplenia, nephritis, generalized erythematous rash, growth retardation and hepatomegaly. {ECO:0000269|PubMed:9884342}. Note=The disease is caused by mutations affecting the gene represented in this entry."
